Wavelength,I(0),I(KBr),I(KI)
289.2139,11.53,10.0622,5.0467
289.6792,10.95,5.5222,8.9267
290.1444,6.39,-2.2578,3.8067
290.6097,7.23,4.2222,2.3067
291.0749,13.87,4.6022,6.9067
291.5401,10.17,-4.0378,6.2267
292.0052,10.21,7.5222,-0.6733
292.4704,12.47,8.1822,6.2467
292.9355,10.41,3.2422,5.1067
293.4006,9.69,-1.5178,2.0067
293.8657,9.45,10.6022,0.8267
294.3307,13.31,6.1222,5.5067
294.7958,10.33,1.9822,4.0867
295.2608,13.05,-0.0778,-1.5533
295.7258,11.45,6.3222,4.8667
296.1907,15.61,8.4822,5.8267
296.6557,13.51,1.6622,5.5467
297.1206,13.69,6.3622,3.8467
297.5855,11.67,5.9222,2.9867
298.0503,11.07,1.3622,7.6467
298.5152,13.09,2.4422,4.4467
298.98,10.85,5.6622,5.9667
299.4448,13.63,4.2422,4.1067
299.9095,9.57,-0.1378,4.0267
300.3743,9.63,5.0422,1.6067
300.839,10.59,8.5422,5.6267
301.3037,13.57,5.7622,9.1467
301.7684,13.61,5.0022,2.4267
302.2331,9.27,5.4022,0.2867
302.6977,15.45,7.3022,9.2267
303.1623,9.17,2.5022,6.3067
303.6269,11.05,4.0022,-2.8733
304.0914,11.47,6.0422,4.8067
304.556,14.07,5.2822,5.4867
305.0205,14.35,1.9622,8.0667
305.485,13.23,7.6622,7.6467
305.9494,17.47,4.5822,8.1867
306.4139,18.17,5.0622,8.8667
306.8783,16.01,2.8222,2.2467
307.3427,12.75,5.9222,4.0867
307.8071,15.75,5.2222,6.3467
308.2714,8.65,-0.5178,4.1467
308.7358,11.47,3.3022,0.8867
309.2001,16.91,6.7222,6.3267
309.6643,17.27,5.5422,8.8667
310.1286,23.95,10.1822,12.1467
310.5928,13.23,8.1022,3.4667
311.057,17.97,10.0422,5.4067
311.5212,11.59,1.1822,3.5467
311.9854,11.01,4.1422,-0.7333
312.4495,16.15,6.7822,3.5267
312.9136,17.51,6.1222,7.2067
313.3777,12.85,0.8222,3.9867
313.8418,15.73,10.5222,3.0467
314.3059,16.07,8.1022,5.2667
314.7699,16.55,4.5222,11.3267
315.2339,14.89,3.5822,1.3467
315.6978,15.25,8.9822,5.2267
316.1618,19.29,8.8422,5.2067
316.6257,16.57,0.6222,4.3667
317.0896,16.77,7.9022,2.5867
317.5535,15.69,8.7222,6.4667
318.0174,15.13,7.2822,9.2667
318.4812,13.27,4.4222,3.5467
318.945,14.69,8.0222,3.6267
319.4088,22.85,8.5622,8.6667
319.8726,16.01,4.9222,7.6467
320.3363,17.35,3.8222,0.5267
320.8,19.43,6.1422,6.3067
321.2637,20.59,7.6022,4.8867
321.7274,17.41,0.9222,4.0867
322.191,19.15,9.8822,2.7667
322.6547,19.99,7.0222,3.6267
323.1183,17.33,6.4022,4.1067
323.5818,16.27,4.6822,-1.7733
324.0454,15.57,7.7422,2.6467
324.5089,23.89,11.9022,7.5467
324.9724,15.33,0.1422,5.7067
325.4359,17.93,4.2422,1.3467
325.8994,23.79,12.9022,10.7867
326.3628,18.81,5.2022,7.8267
326.8262,18.47,0.6422,-0.2933
327.2896,17.03,10.3822,2.6267
327.753,22.85,9.7422,5.8467
328.2163,18.65,1.4622,4.8067
328.6796,18.79,6.7422,5.9667
329.1429,23.23,11.1622,10.4067
329.6062,21.15,7.6622,7.0867
330.0694,18.31,3.1622,8.3867
330.5326,19.85,10.4422,7.5467
330.9958,24.41,8.3422,6.6667
331.459,20.81,2.4622,5.3267
331.9222,21.53,5.6622,2.4667
332.3853,21.55,13.5222,8.3667
332.8484,21.53,7.2822,5.1467
333.3115,22.13,2.0822,4.3267
333.7746,26.81,15.2822,7.8067
334.2376,23.47,11.0622,10.3667
334.7006,18.79,6.1022,9.6267
335.1636,23.47,3.8222,4.4867
335.6265,20.77,12.8622,4.6067
336.0895,30.53,11.6422,8.3267
336.5524,23.55,3.4422,7.7267
337.0153,24.29,7.1622,0.7267
337.4782,24.23,12.1822,6.3467
337.941,27.79,9.8222,12.4267
338.4038,24.51,6.2422,5.3067
338.8666,23.49,13.9622,2.4467
339.3294,24.15,8.7022,7.6067
339.7922,24.47,4.8222,5.1467
340.2549,28.53,8.0822,3.2867
340.7176,24.79,12.8822,7.5067
341.1803,26.83,8.5022,9.0067
341.6429,23.79,1.8222,5.5267
342.1056,27.53,9.5022,6.2467
342.5682,35.21,18.5822,11.2667
343.0308,29.39,8.1422,9.5067
343.4933,25.87,8.1022,3.9467
343.9559,29.69,14.5622,6.4467
344.4184,33.81,16.9222,12.6667
344.8809,30.45,6.0422,6.9267
345.3434,27.39,11.0422,4.2667
345.8058,30.69,14.6422,8.0667
346.2682,29.69,13.4622,10.3867
346.7306,31.47,8.4422,9.0867
347.193,31.73,14.3022,9.5867
347.6554,37.09,16.7022,10.7267
348.1177,29.37,9.2822,7.9467
348.58,32.21,10.7622,5.2067
349.0423,32.83,8.8422,7.7867
349.5045,38.81,11.5622,12.9867
349.9668,28.19,4.8822,4.5467
350.429,34.85,11.7022,6.2267
350.8912,34.43,11.2622,10.3067
351.3533,31.43,7.6022,8.4867
351.8155,35.47,8.8222,4.3667
352.2776,33.39,15.5022,8.5467
352.7397,38.31,15.7022,11.0867
353.2018,34.85,7.6022,12.0667
353.6638,33.33,10.2422,1.9067
354.1258,37.33,15.3822,10.0867
354.5878,34.77,9.3422,9.8267
355.0498,38.63,9.5222,5.8267
355.5117,34.57,19.4822,7.2667
355.9737,40.27,21.3822,14.2067
356.4356,36.35,9.8022,9.8667
356.8975,38.87,13.9222,3.2667
357.3593,37.83,18.9222,11.9867
357.8211,40.17,12.2622,13.6867
358.283,33.71,8.5222,9.7267
358.7447,41.47,18.2822,8.5467
359.2065,39.69,18.6422,9.5667
359.6682,47.77,16.7222,14.6267
360.13,40.09,14.0222,5.0667
360.5916,40.45,16.9222,11.3667
361.0533,46.39,15.3222,12.2067
361.515,41.31,10.7222,13.3467
361.9766,48.65,22.5422,14.8867
362.4382,43.31,14.4622,11.4467
362.8998,41.35,11.5822,9.6867
363.3613,46.45,17.2022,10.4067
363.8228,46.99,19.5422,10.0667
364.2843,49.61,19.3622,12.1867
364.7458,42.71,12.4822,9.8467
365.2073,45.65,18.0622,8.9467
365.6687,45.19,16.6822,13.7867
366.1301,46.97,17.6422,15.9867
366.5915,42.67,13.3422,10.3067
367.0529,45.35,19.6422,7.2867
367.5142,57.47,25.5022,15.9267
367.9755,46.79,14.6822,12.4267
368.4368,49.63,13.6422,7.0867
368.8981,50.97,21.0422,14.8267
369.3593,54.85,18.3022,18.1067
369.8205,47.71,13.8422,7.0067
370.2817,49.19,20.5022,8.5667
370.7429,53.87,20.0022,12.6667
371.204,49.95,17.2222,13.1267
371.6652,54.83,18.6622,8.2667
372.1263,54.99,22.2622,9.8067
372.5873,58.67,17.8822,13.2067
373.0484,52.87,15.9622,14.4667
373.5094,55.27,17.7622,11.4067
373.9704,59.01,23.9422,17.2267
374.4314,56.13,17.1822,16.7867
374.8924,59.75,18.1622,11.7067
375.3533,64.27,29.1622,13.1667
375.8142,64.97,25.6222,15.4467
376.2751,63.57,20.6622,13.0667
376.736,60.81,20.8822,8.9667
377.1968,63.31,22.5022,13.7867
377.6576,63.81,20.5822,15.6867
378.1184,63.87,16.2422,8.9467
378.5792,63.13,26.0222,13.3667
379.0399,65.23,24.8222,18.8267
379.5007,63.23,18.5622,14.1467
379.9614,62.47,18.1822,9.3267
380.422,65.77,25.0622,11.1867
380.8827,71.21,24.5022,16.2267
381.3433,64.43,18.9222,11.7067
381.8039,69.23,21.5022,13.9667
382.2645,67.17,22.9622,15.9267
382.725,71.39,22.3622,15.0267
383.1856,69.71,22.5022,11.9067
383.6461,73.87,27.6222,15.2867
384.1066,74.73,30.5022,17.5467
384.567,73.23,21.2422,17.0067
385.0275,74.73,25.6222,11.8467
385.4879,78.19,29.5022,17.0467
385.9483,82.01,29.2222,19.4467
386.4086,72.99,22.7022,14.5067
386.869,75.05,28.7222,16.9067
387.3293,80.15,33.2422,20.7867
387.7896,78.55,26.0822,17.1867
388.2499,83.89,26.5822,14.3067
388.7101,84.49,34.7622,22.2867
389.1703,88.51,35.7822,22.6667
389.6306,84.97,25.4022,18.2667
390.0907,88.93,31.5822,16.4467
390.5509,88.03,32.7822,20.7067
391.011,93.67,31.0022,23.6867
391.4711,90.63,26.4822,13.7667
391.9312,88.93,34.6622,21.2667
392.3913,97.21,33.8022,18.1867
392.8513,93.05,25.7422,17.8467
393.3113,95.35,30.3022,16.7067
393.7713,95.61,38.1222,22.9267
394.2313,99.51,33.4222,21.7067
394.6912,95.93,28.1622,20.5667
395.1511,101.81,37.2822,19.1067
395.611,107.17,37.9622,26.3867
396.0709,106.89,34.5222,26.0867
396.5307,104.05,34.6622,17.1867
396.9905,107.51,41.7222,23.5267
397.4503,108.87,39.7622,25.9067
397.9101,104.77,32.8222,22.8867
398.3699,110.09,44.6222,24.1067
398.8296,112.67,45.0422,23.2667
399.2893,110.65,39.7022,26.3267
399.749,112.27,38.3022,19.2467
400.2086,112.53,45.1422,23.9267
400.6683,118.71,44.6422,25.3667
401.1279,115.61,39.2222,27.0467
401.5874,119.91,51.1222,28.2467
402.047,125.99,50.0622,28.7467
402.5065,130.79,47.2022,30.0267
402.9661,126.43,45.9422,26.3067
403.4255,128.19,48.7022,23.8867
403.885,133.11,52.1222,28.9867
404.3444,129.37,41.8622,25.0467
404.8039,125.31,45.6222,24.5267
