Wavelength,I(0),I(NaCl),I(KCl)
390.5509,84.9389,15.5759,28.0519
391.011,87.6389,16.8759,19.8185
391.4711,84.1056,16.9426,30.1519
391.9312,82.4722,16.8426,26.8519
392.3913,88.5389,18.3426,25.7852
392.8513,84.7389,19.0426,27.7185
393.3113,89.0722,14.9093,28.3852
393.7713,93.4389,21.3759,28.5185
394.2313,88.4056,14.1426,23.4519
394.6912,93.1389,19.8093,28.1519
395.1511,93.7056,18.0426,26.7185
395.611,103.5722,17.2759,30.4185
396.0709,105.9722,14.0759,29.6519
396.5307,98.7389,16.9759,38.9519
396.9905,102.6056,17.2426,36.3852
397.4503,101.0722,18.7759,30.2852
397.9101,103.8056,18.9759,34.3185
398.3699,102.4056,17.0093,34.1185
398.8296,102.1722,18.5426,40.5852
399.2893,105.7389,21.1093,32.2852
399.749,108.7056,19.7759,36.8185
400.2086,109.1389,20.9093,33.5185
400.6683,110.1722,16.4093,33.2852
401.1279,114.3722,15.6093,37.1852
401.5874,117.3056,20.6759,37.5185
402.047,120.4056,20.1093,42.4852
402.5065,124.7722,17.8093,38.4519
402.9661,122.8722,21.7093,43.6185
403.4255,120.1389,19.8759,40.7852
403.885,124.3056,21.8426,41.2519
404.3444,126.0389,20.9426,45.0185
404.8039,120.5722,18.8759,42.9519
405.2633,130.8389,15.9093,42.8852
405.7226,128.4056,20.3426,42.1519
406.182,132.1056,16.2759,49.6852
406.6413,130.2389,16.2759,46.5185
407.1006,134.0389,16.1759,47.9519
407.5599,138.7722,14.5759,42.3185
408.0191,136.1389,18.3759,49.7185
408.4784,139.0722,14.7093,46.2519
408.9376,137.1056,15.9426,47.0519
409.3967,144.0389,16.9759,52.2519
409.8559,143.7389,16.6093,50.2185
410.315,146.0056,15.0093,49.1519
410.7741,151.6389,14.9759,51.2519
411.2332,151.5722,17.4426,56.4519
411.6923,149.1389,18.1426,55.9852
412.1513,152.3722,19.3759,50.5852
412.6103,156.7056,17.3426,56.8519
413.0693,152.2722,17.7759,57.4852
413.5283,157.4389,15.2759,51.2852
413.9872,163.0389,16.8759,51.2852
414.4461,162.7389,15.7426,58.2185
414.905,161.3389,18.1093,57.3185
415.3639,164.6722,22.9426,59.6519
415.8228,165.3722,16.4426,61.5185
416.2816,171.1722,18.1093,65.3519
416.7404,172.2389,15.1759,68.4519
417.1992,177.7722,14.9426,57.7185
417.6579,175.9056,17.0759,67.1852
418.1166,180.6722,19.8759,69.1519
418.5753,190.5722,13.9093,72.0852
419.034,194.0389,18.0759,66.4185
419.4927,192.2389,16.9426,72.4185
